| Government | CANADA |
| --- | --- |
| Country name: | conventional long form: none |
| Country name: | conventional short form: Canada |
| Country name: | note: the country name is derived from the St. Lawrence Iroquoian word "kanata" meaning village or settlement |
| Government type: | a parliamentary democracy, a federation, and a constitutional monarchy |
| Capital: | name: Ottawa |
| Capital: | geographic coordinates: 45 25 N, 75 42 W |
| Capital: | time difference: UTC-5 (same time as Washington, DC, during Standard Time) |
| Capital: | daylight saving time: +1hr, begins second Sunday in March; ends first Sunday in November |
| Capital: | note: Canada has six time zones |
| Administrative divisions: | 10 provinces and 3 territories*; Alberta, British Columbia, Manitoba, New Brunswick, Newfoundland and Labrador, Northwest Territories*, Nova Scotia, Nunavut*, Ontario, Prince Edward Island, Quebec, Saskatchewan, Yukon* |
| Independence: | 1 July 1867 (union of British North American colonies); 11 December 1931 (recognized by UK per Statute of Westminster) |
| National holiday: | Canada Day, 1 July (1867) |
| Constitution: | made up of unwritten and written acts, customs, judicial decisions, and traditions dating from 1763; the written part of the constitution consists of the Constitution Act of 29 March 1867, which created a federation of four provinces, and the Constitution Act of 17 April 1982; several amendments to the 1982 Constitution Act, last in 2011 (2011) |
| Legal system: | common law system except in Quebec, where civil law based on the French civil code prevails |
| International law organization participation: | accepts compulsory ICJ jurisdiction with reservations; accepts ICCt jurisdiction |
| Suffrage: | 18 years of age; universal |
| Executive branch: | head of government: Prime Minister Stephen Joseph HARPER (since 6 February 2006) |
| Executive branch: | cabinet: Federal Ministry chosen by the prime minister usually from among members of his own party sitting in Parliament |
| Executive branch: | elections/appointments: the monarchy is hereditary; governor general appointed by the monarch on the advice of the prime minister for a 5-year term; following legislative elections, the leader of the majority party or majority coalition in the House of Commons generally designated prime minister by the governor general |
| Legislative branch: | description: bicameral Parliament or Parlement consists of the Senate or Senat (105 seats; members appointed by the governor general on the advice of the prime minister and can serve until age 75) and the House of Commons or Chambre des Communes (308 seats; members directly elected in single-seat constituencies by simple majority vote to serve a maximum of 4-year terms) |
| Legislative branch: | elections: House of Commons - last held on 2 May 2011 (next to be held no later than 19 October 2015) |
| Legislative branch: | election results: House of Commons - percent of vote by party - Conservative Party 39.6%, NDP 30.6%, Liberal Party 18.9%, Bloc Quebecois 6%, Greens 3.9%; seats by party - Conservative Party 166, NDP 103, Liberal Party 34, Bloc Quebecois 4, Greens 1 |
| Judicial branch: | highest court(s): Supreme Court of Canada (consists of the chief justice and 8 judges); note - in 1949, Canada finally abolished all appeals beyond its Supreme Court to the Judicial Committee of the Privy Council (in London) |
| Judicial branch: | judge selection and term of office: chief justice and judges appointed by the prime minister in council; all judges appointed for life with mandatory retirement at age 75 |
| Judicial branch: | subordinate courts: federal level: Federal Court of Appeal; Federal Court; Tax Court; federal administrative tribunals; courts martial; provincial/territorial: provincial superior, appeals, first instance, and specialized courts; in 1999, the Nunavut Court - a circuit court with the power of a superior court and the territorial courts - was established to serve isolated settlements |
| Political parties and leaders: | Bloc Quebecois [Mario BEAULIEU] |
| Political parties and leaders: | Conservative Party of Canada [Stephen HARPER] |
| Political parties and leaders: | Green Party [Elizabeth MAY] |
| Political parties and leaders: | Liberal Party [Justin TRUDEAU] |
| Political parties and leaders: | New Democratic Party or NDP [Thomas MULCAIR] |
| Political pressure groups and leaders: | other: agricultural sector; automobile industry; business groups; chemical industry; commercial banks; communications sector; energy industry; environmentalists; public administration groups; steel industry; trade unions |
| International organization participation: | ADB (nonregional member), AfDB (nonregional member), APEC, Arctic Council, ARF, ASEAN (dialogue partner), Australia Group, BIS, C, CD, CDB, CE (observer), EAPC, EBRD, EITI (implementing country), FAO, FATF, G-7, G-8, G-10, G-20, IADB, IAEA, IBRD, ICAO, ICC (national committees), ICCt, ICRM, IDA, IEA, IFAD, IFC, IFRCS, IGAD (partners), IHO, ILO, IMF, IMO, IMSO, Interpol, IOC, IOM, IPU, ISO, ITSO, ITU, ITUC (NGOs), MIGA, MINUSTAH, MONUSCO, NAFTA, NATO, NEA, NSG, OAS, OECD, OIF, OPCW, OSCE, Pacific Alliance (observer), Paris Club, PCA, PIF (partner), UN, UNCTAD, UNESCO, UNFICYP, UNHCR, UNMISS, UNRWA, UNTSO, UPU, WCO, WFTU (NGOs), WHO, WIPO, WMO, WTO, ZC |
| Diplomatic representation in the US: | chief of mission: Ambassador Gary DOER (since 23 October 2009) |
| Diplomatic representation in the US: | chancery: 501 Pennsylvania Avenue NW, Washington, DC 20001 |
| Diplomatic representation in the US: | telephone: [1] (202) 682-1740 |
| Diplomatic representation in the US: | FAX: [1] (202) 682-7726 |
| Diplomatic representation in the US: | consulate(s) general: Atlanta, Boston, Chicago, Dallas, Denver, Detroit, Los Angeles, Miami, Minneapolis, New York, San Francisco/Silicon Valley, Seattle |
| Diplomatic representation in the US: | trade office(s): Houston, Palo Alto (CA), San Diego |
